"Tên chính","Tên khác","Tên khoa học","Họ","Mô tả","Bộ phận dùng","Nơi sống và thu hái","Thành phần hoá học","Tính vị, tác dụng","Công dụng, chỉ định và phối hợp","Liều dùng","Đơn thuốc"
"Găng tu hú","Găng trâu, Găng gai","Catunaregam-spinosa (Thunb.)Tirving.(Randia spinosa-(Thunb.) Poir.R. dumetorum Lam.)","Cà phê- Rubiaceae","Cây nhỡ hay cây gỗ nhỏ cao tới 8m, rất phân nhánh, có gai to, nhọn, dài 5-15mm. Lá xoan ngược, tù hay gần nhọn ở đầu, nhọn sắc ở gốc, nhẵn, ráp hay có lông mềm trên cả hai mặt, gần dai, dài 2,5-7cm, rộng 1,5-3cm. Hoa màu vàng lục hay trắng thường đơn, hầu như không cuống. Quả dạng quả mọng, hình cầu hay hình trứng, đường kính 2,5-5cm, nhẵn, mang các lá đài đồng trưởng, màu vàng. Hạt nhiều, đen, chìm trong nạc của quả. Hoa tháng 3-9, quả tháng 3-11.","Quả, rễ và vỏ cây - Fructus, Radix et Cortex Catunaregami Spinosae.","Cây mọc ở khắp vùng Viễn đông nhiệt đới và Ðông Phi châu nhiệt đới. Phổ biến khắp nước ta, thường trồng làm hàng rào vì cây có nhiều gai. Quả thu hái vào mùa thu, đông, dùng tươi. Rễ và vỏ thu hái quanh năm, dùng tươi hay phơi khô dùng dần.","Từ bột rễ, đã chiết được scopolatin, cơm quả chứa saponin trung tính và acid, tinh dầu và acid nhựa. Quả khô chứa một lượng nhỏ saponin kết tinh gọi là ursosaponin. Còn có -sitosterol và một triterpen mới.","Quả làm kích thích gây nôn. Cơm quả cầm lỵ, trừ giun, gây sẩy thai. Vỏ quả làm săn da. Vỏ cây se, có tác dụng bổ và lợi tiêu hoá. Nước chiết vỏ rễ có tác dụng diệt trùng.","Lá thường dùng làm thạch (Sương sâm). Rễ nghiền ra dùng duốc cá. Vỏ rễ và thân hãm uống để điều kinh. Quả dùng nhuộm vàng, lại dùng ngâm lấy nước trừ giun đất và đỉa. Cũng dùng chữa mụn nhọt lở loét (lấy quả Găng bổ đôi, bỏ hạt cho vôi vào, lấy đất sét bọc ngoài, đốt tồn tính. Bỏ đất, tán quả thành bột rắc chung quanh vết loét). Ở Ấn Độ, quả xanh dùng để duốc cá. Cơm quả dùng trị lỵ và trừ giun, cũng dùng làm thuốc gây nôn. Ðem tán bột, đắp vào lưỡi và vòm khẩu cái trị sốt và đau ốm của trẻ em khi mọc răng. Vỏ dùng làm thuốc uống trong và cũng dùng đắp ngoài trị đau xương trong khi bị sốt; dùng ngoài đắp để giảm đau trong bệnh thấp khớp. Cũng dùng trị ỉa chảy và lỵ. Vỏ rễ cũng dùng uống trị đau bụng. Người ta cũng đập giập vỏ thả xuống nước để duốc cá. Ở Trung Quốc, người ta gọi nó là Sơn thạch lựu. Rễ và quả được dùng trị đòn ngã và trừ phong thấp. Quả, rễ và vỏ cây được sử dụng làm thuốc, có thể dùng để gây nôn mửa. Lá giã lẫn với đường để đắp tiêu sưng đau, quả khi còn xanh có thể dùng duốc cá. Vỏ quả có thể đun nước rửa bệnh ngoài da. Dân gian thường lấy cành non và mầm giã nát đắp vào chỗ bị gai cắm vào, có thể lôi gai ra được.","",""
"Gáo","Gáo trắng, Cà tôm, Phay vì","Anthocephalus cadamba (Roxb.) Miq (A. indicus A. Rich-Nauclea calamba Roxb.)","Cà phê- Rubiaceae","Cây gỗ lớn cao 15-20m, thân thẳng, hình trụ, tán rộng. Lá hình bầu dục, thuôn, xoan hay xoan ngược, đột nhiên cụt hay thon nhọn ngắn và tròn ở gốc, có mũi, nhọn ở đầu, dài 10-20cm, rộng 5-7cm, có lông khi còn non, lấp lánh và màu nâu sẫm ở trên, nâu sáng ở dưới; cuống lá 2-3 cm. Hoa màu da cam, thành đầu hình cầu, đơn độc, ở ngọn, đường kính 2,5-6cm. Quả khô, cao 5mm, rộng 1,5mm, dai, dính phần gốc với đế hoa nạc. Hạt đen đen, có góc. Hoa tháng 7-9, quả tháng 10-11.","Vỏ và lá - Cortex et Folium Anthocephali.","Loài phân bố ở Ấn Độ, Xri Lanka, Thái Lan, Lào, Campuchia, Việt Nam, Inđônêxia. Ở nước ta, cây mọc ở các tỉnh từ Lào Cai, Hà Giang, Hoà Bình đến các tỉnh miền Trung. Cây ưa đất tốt, tầng đất dày và ẩm. Tái sinh hạt mạnh, sinh trưởng nhanh, ở chỗ ẩm sáng, dọc theo bìa rừng, ven suối.","Có một chất đắng tương tự acid cinchotannic. Hoa chứa tinh dầu. Vỏ chứa alcaloid, steroid, chất béo và đường giảm.","Vỏ bổ, hạ nhiệt, làm se.","Ðế hoa hoá nạc dùng ăn được. Ở Yên Bái, vỏ dùng ngâm trong nước sôi chữa ho được xem như là bổ. Ở Tiên Yên, tỉnh Quảng Ninh, vỏ dùng chữa sốt rét. Ở Lào Cai, người ta dùng vỏ để nhuộm đen. Ở Ấn Độ, người ta dùng vỏ trị rắn cắn. Nước sắc lá dùng súc miệng trong trường hợp bị bệnh aptơ. Quả se dùng trị ỉa chảy. Ở Campuchia, nhân dân vùng Xiêm Riệp dùng thân và vỏ để chế một loại thuốc giảm đau và làm dịu.","",""
"Gạo","","Bombax ceiba L. (B. malabaricum DC.)","Gạo - Bombacaceae","Cây to, cao đến 15m. Thân có gai và có bạnh vè ở gốc. Lá kép chân vịt, mọc so le. Hoa màu đỏ mọc thành chùm, nở trước khi cây ra lá. Quả nang to. Hạt có nhiều lông như sợi bông trắng dài. Ra hoa tháng 3, có quả tháng 5.","Hoa, rễ, vỏ, nhựa - Flos, Radix, Cortex et Resina Bombacis.","Loài của vùng Ấn Độ, Malaixia, mọc hoang và cũng được trồng. Thu hái hoa vào mùa xuân; thu hái rễ vào mùa xuân hay mùa thu, rửa sạch, thái nhỏ, phơi khô thu hái vỏ vào mùa hè-thu.","Hoa chứa nhiều acid amin, pectin tanin, đường, nhiều nguyên tố vi lượng. Nhựa chứa acid catechutannic. Hạt chứa 22,3% dầu béo khô với 0,5% stearin. Rễ của cây non có chứa protein 1,2%, chất béo 0,9%, phosphatid (cephaclin) 0,6% semul đỏ 0,5% tanin 0,4% arabinose và galactose 8,2% chất có pectin 6,9% và tro 71,2%. Chất nhầy trong vỏ biểu hiện của một ester salicophosphoric của manogalactan.","Hoa có vị ngọt, tính mát, có tác dụng thanh nhiệt, lợi tiểu. Vỏ có vị đắng, tính mát; có tác dụng lợi tiểu, tiêu sưng, gây nôn. Rễ đắng, mát, có tác dụng kích thích, bổ, cũng gây nôn và giảm đau. Nhựa kích dục, làm nhầy, cầm máu, làm săn da, bổ và gây khát.","Hoa được dùng trị viêm ruột, lỵ. Cũng dùng như trà uống vào mùa hè. Nước hoa gạo được xem như một dung dịch bổ âm, dùng chữa thiếu máu suy nhược hoặc do các nguyên nhân khác (rong kinh, đa kinh, chảy máu dạ dày - tá tràng, mất máu sau mổ vết thương, sỏi thận mà tuỷ xương bình thường) và do cả trường hợp suy tuỷ. Vỏ dùng trị thấp khớp, đụng giập gãy xương, bọc máu. Cũng dùng cầm máu trong các chứng băng huyết, (phối hợp với rễ non và hạt cây tươi). Rễ dùng chữa đau thượng vị, viêm hạch bạch huyết dạng lao và làm thuốc lợi tiểu. Gôm của cây Gạo cho vào nước chữa bệnh lậu. Nhựa dùng chữa lỵ ỉa chảy và rong kinh. Ðĩa mật trong hoa dùng lợi tiểu và tẩy. Ở Ấn Độ, người ta dùng rễ làm thuốc kích dục cho trường hợp bất lực và dùng hoa, quả trị rắn cắn.","Hoa 10-15g, vỏ 15-30g, rễ 30-50g.","1. Lỵ: Hoa gạo, Kim ngân, Cỏ sẹo gà, mỗi vị 15g. Ðun sôi lấy nước uống. 2. Ðau vùng thượng vị: Rễ hay vỏ gạo 30g, rễ Hoàng lức 6g. Ðun sôi uống. 3. Bó gãy xương: Vỏ cây tươi giã đắp. 4. Sưng tấy, đơn độc, quai bị, viêm dạ dày. Vỏ Gạo tươi (bỏ lớp ngoài) thái miếng 30-40g sắc uống."
"Gáo không cuống","Gáo vàng, Mít ma, Bàng nâu","Neonauclea sessilifolia (Hook.f.) Merr (Adina sessilifoliaHook.f)","Cà phê- Rubiaceae","Cây gỗ lớn, nhẵn. Lá thuôn có khi hình trái xoan hay gần hình mắt chim, tròn ở hai đầu, có khi gần hình tim ở gốc, dài 9-25cm, rộng 6-18cm, xanh ôliu bạc, bóng loáng ở mặt trên, sáng hơn và mờ ở mặt dưới, dai; các cuống rất ngắn. Hoa thành đầu hình trứng hay hình cầu, cao 2,5-4cm, xếp 1-3 cái trên một cuống chung dài 1,5-3cm. Quả nang, dài 8-10mm, rộng 2-3mm ở đỉnh, hình nón ngược, có lông mềm ở chóp. Hạt thuôn, rất dẹp, có 1 cánh dài ở hai đầu.","Vỏ, gỗ, rễ cây - Cortex, Lignum et Radix Neonaucleae.","Cây của Ðông Dương và Ấn Độ, mọc hoang ở rừng thường xanh từ Lâm Đồng, Ðồng Nai tới Tây Ninh, An Giang. Có thể thu hái các bộ phận của cây quanh năm.","","Gỗ có tác dụng bổ, lọc máu và nhuận tràng. Vỏ thân bổ, làm săn da và cầm máu. Rễ cầm máu.","Gỗ được dùng dưới dạng thuốc sắc hay thuốc hãm cho phụ nữ sinh đẻ uống 3 ngày liền sau khi sinh để lọc máu. Vỏ dùng chữa viêm lợi và ỉa chảy, lại còn dùng trị ho có thổ huyết, trị đau dạ dày và viêm tử cung. Ở Ấn Độ, vỏ cây dùng trị đau ruột và sốt. Ở Campuchia, vỏ được dùng làm uống trị cảm cúm và viêm phế quản. Rễ cũng được dùng để cầm máu.","","Chữa nôn ra máu, ỉa ra máu; dùng rễ Phục linh, vỏ Chanh giấy, rễ Nhàu rừng, rễ Gáo không cuống (Gáo vàng) và Tỏi. Các vị hiệp chung, tán ra bột, vò viên áo bằng Chu thần. Mỗi lần có bệnh trên, uống 5 viên, uống nhiều lần trong ngày (Kinh nghiệm ở An Giang)"
"Gạo sấm","","Scleropyrum wallichianum (Wight. et. Arn.) Arn.","Đàn hương - Santalaceae","Cây thường xanh cao 8-12m, đường kính 15-20cm. Thân có gai, vỏ màu trắng xám. Cành nhỏ có lông. Lá đơn, mọc so le, hình trứng thuôn hay trái xoan rộng, dài 7-20cm, rộng 5-11cm, đầu nhọn, gốc hình nêm rộng, gân bên 4-8 đôi; cuống 6-10mm. Cụm hoa dạng bông ở nách lá. Hoa tạp tính, đài hoa 5 thuỳ, nhị 5, bầu dưới 1 ô, 3 noãn. Quả hạch, hình trứng rộng, dài 30-35mm mang thuỳ của bao hoa tồn tại. Vỏ nạc, khi chín màu vàng. Hạt hình cầu. Hoa tháng 4-5 quả tháng 8-9.","Lá - Folium Scleropyri.","Loài phân bố ở Việt Nam, Trung Quốc, Lào. Cây mọc ở rừng hoặc chân núi đá vôi Hoà Bình, Hà Tây, Nam Hà, Ninh Bình, Hà Tĩnh qua Kontum tới Kiên Giang (đảo Phú Quốc).","Hạt có dầu.","","Gỗ được sử dụng làm các loại nông cụ. Dầu hạt có thể chế tạo xà phòng. Lá được sử dụng trong phạm vi dân gian (Mường) làm thuốc giã đắp các vết thương do tên thuốc độc.","",""
"Gáo tròn","","Haldina cordifolia (Roxb.) Ridsd, (Adina cordifolia (Roxb.) Benth et Hook. f. Nauclea cordifoliaRoxb.)","Cà phê- Rubiaceae","Cây gỗ thường có kích thước lớn. Lá hình mắt chim hay trái xoan, hình tim ở gốc, có đuôi nhọn dài ở chóp, dài 10-30cm, rộng 8-20cm, màu lục sẫm và nhẵn ở mặt trên, nhạt màu hơn và có lông mềm ỏ mặt dưới, dai. Hoa vàng, thành đầu hình cầu, đường kính 18-25mm, xếp 1-3 cái, có cuống dài 3-9cm. Quả nang, dài 3-4mm, rộng 2mm ở đỉnh, hình nêm, có lông mềm. Hạt 6-8, có cánh ở hai đầu, nhọn ở gốc, chia đôi ở đỉnh.","Vỏ cây, rễ - Cortex et Radix Haldinae. Cordifoliae.","Loài của Ðông Dương và Ấn Độ, mọc trong các rừng thường xanh hoặc nửa rụng lá ở nhiều nơi.","Vỏ cây chứa 7,27-9,27% tanin; 0,09% một sắc tố màu vàng là adinin.","Vỏ hạ sốt, khử trùng, làm săn da.","Ở Ấn Độ, người ta dùng vỏ làm thuốc sát trùng các vết thương. Ở Campuchia, người ta dùng rễ trị ỉa chảy và lỵ; người ta lấy một nắm to rễ cây cho vào 1 lít nước rồi đun sôi, chỉ lấy 1/3 và chia làm 3 lần uống trong ngày.","",""
"Gáo vàng","","Nauclea orientalis (L.) L. (Sarcocephulus coadunata (Roxb. exem Sm.) Druce)","Cà phê - Rubiaceae","Cây gỗ lớn, cao đến 20m. Cành mọc ngang. Vỏ non màu nâu đậm, vỏ cây già màu xám trắng, gỗ vàng. Lá hình xoan rộng, chóp tròn, gốc tròn hay hình tim, dài 8-25cm; cuống tròn lõm ở trên; lá kèm tròn. Cụm hoa hình đầu ở trên một cuống đài mang nhiều hoa nhỏ màu vàng hay màu ngà, có mùi thơm. Quả kép mập, to 2-3cm. Cây ra hoa tháng 3, có quả chín tháng 7.","Vỏ cây và gỗ - Cortex et Lignum Naucleae Orientalis.","Loài của Ấn Độ, Xri Lanka, Malaixia, Philippin và Bắc Ôxtrâylia. Ở nước ta, thường mọc ở các trảng, rừng phục hồi, chỗ ẩm mát ven suối vùng đồng bằng tới ven nước lợ. Cũng được trồng lấy gỗ làm ghe. Ta thường bóc vỏ cây dùng tươi hoặc phơi khô dùng dần. Có thể chẻ gỗ phơi khô để dùng.","Vỏ chứa alcaloid.","Vỏ cây và rễ đều có vị đắng, có tác dụng bổ, hạ nhiệt.","Thường dùng làm thuốc bổ đắng, chữa sốt và chữa xơ gan cổ trướng. Dùng 10-15g, sắc uống. Ðể chữa xơ gan, phối hợp với Cỏ sữa. Cỏ xước, mỗi vị 10g.","10-15g, sắc uống.",""
"Gáo viên","Thủ viên","Adina pilulifera (Lam) Frach ex Drake (A. globifera var. tonkinensis Pit.)","Cà phê - Rubiaceae","Cây gỗ nhỏ cao 5-10m hoặc là cây bụi, nhánh mảnh, lúc non có lông mịn vàng. Lá từng cặp không bằng nhau; phiến thon dài tới 12cm, rộng tới 3cm, đầu mũi có đuôi ngắn hay dài đến 2cm, mặt dưới nhạt; cuống dài 1cm; lá kèm cao 5-7mm, chẻ hai sâu. Cụm hoa đầu đơn độc, đường kính 1-1,5cm, trên một cuống đài cú lỏ bắc ở giữa. Hoa nhỏ màu trắng. Quả nang có lá đài tồn tại, cao 3-4mm; hạt xám, có cánh, dài 2mm. Hoa tháng 5-8, quả tháng 9-11.","Rễ, vỏ thân, lá, hoa và quả - Radix, Cortex, Folium, Flos et Fructus Adinae Pipuliferae.","Loài cây phân bổ ở Việt Nam, Trung Quốc, Nhật Bản. Ở nước ta, cây mọc nhiều ở vùng rừng núi Nghệ An, Hà Tĩnh, thường sống dưới tán rừng nhiệt đới ẩm ở thung lũng hoặc ven suối. Có thể thu hái rễ và vỏ thân quanh năm. Hoa thu lượm giữa tháng 6 và 8, quả từ tháng 9 tới tháng 11. Lá thu hái giữa mùa hè và mùa thu.","","Vị đắng, tính mát, có tác dụng thanh nhiệt giải độc, tán ứ, giảm đau.","Rễ dùng trị 1. Cảm mạo sốt cao, viêm nhiễm đường hô hấp trên (hầu họng); 2. Viêm tuyến mang tai. Hoa và quả dùng trị lỵ, viêm dạ dày ruột cấp tính. Lá dùng trị 1. Đụng giập; 2. Nhọt, eczema.","Dùng rễ 15-30g, hoa và quả 10-15g, sắc nước uống." ,"1. Kiết lỵ, dùng toàn cây 30g hoặc hoa và quả 15g sắc nước uống. 2. Đụng giập, giã lá tươi đắp vào chỗ đau."
"Gạt nai","Săng vé, Săng ớt mốc","Xanthophyllum glaucum Wall ex Hassk","Viễn chí - Polygalaceae","Cây gỗ cao 7-10m. Lá xoan hay thuôn hình dải, nhọn ở góc, có mũi ở đầu, khá thay đổi về hình dạng, nhẵn, dai, bóng ở trên, hầu như trắng bạc ở dưới, dài 5-10cm, rộng 2-4cm. Hoa trắng hay hồng, thành bông ở nách hay thành chuỳ phân nhánh ở ngọn, có lông hung hung. Quả hình cầu, nhẵn, hơi sần sùi hay không, đường kính 20-25mm. Hạt đơn độc. Hoa tháng 1-4, quả tháng 5-8.","Lá, vỏ cây - Folium et Cortex Xanthophylli.","Cây mọc chủ yếu ở các tỉnh phía Nam từ Thừa Thiên-Huế qua Kontum. Ðắc Lắc đến Ðồng Nai, ở những nơi ẩm ướt, dọc các sông suối. Còn phân bố ở Campuchia, Lào, Mianma, Thái Lan.","","","Quả có thể độc. Người ta dùng lá thay thế men để chế biến rượu gạo. Ở Campuchia, người ta dùng vỏ hãm uống để trị bệnh thuỷ đậu. Hạt cho bột tốt có thể làm chất gột sạch thay thế cho hạt cây Găng cơm (Canthium parviflorum).","",""
"Ghẻ","Bòn bọt","Glochidion obliquum Decne.","Thầu dầu - Euphorbiaceae","Cây gỗ nhỏ cao 7-11m, có nhánh dẹp, nhẵn, khi khô hoá đen. Lá dai, nhẵn, xoan ngọn giáo, nhọn, sắc không cân ở gốc, có mũi nhọn ngắn ở đầu, dài 9-15cm, rộng 35-55mm; cuống lá rất ngắn. Hoa xếp 6-7, thường đồng tính, thành bó ở nách lá. Quả nang hình cầu dẹt, có 6 cạnh lồi, cao 6mm, rộng 12mm, có cuống ngăn ngắn, có đài trên quả ít đồng trưởng. Quả tháng 12.","Lá - Folium Glochidionis.","Cây mọc ở Bắc Việt Nam (Vĩnh Phú, Lạng Sơn) và ở Nam Việt Nam. Còn phân bố ở Campuchia, Ấn Độ, Malaixia, Inđônêxia.","","","Lá, vò ra ngâm vào nước dùng trị ghẻ.","",""
"Ghi có đốt","Tầm gửi dẹt","Viscum articulatum Burm. f.","Ghi - Viscaceae","Cây không có lá, với nhánh hẹp, thòng không phân nhánh lưỡng phân hay tam phân, có các lóng dài 2,5-6cm, với các đốt dẹp, thắt lại ở phía trên các đốt. Hoa nhỏ chụm ở mắt thành nhóm 3 cái, mà hoa ở giữa là hoa cái, các hoa bên là hoa đực. Quả mọng dạng bầu dục, cụt ở đầu, có bề mặt nhẵn; vỏ quả giữa dính, nhớt.","Toàn cây (bỏ rễ) - Herba Visci, thường gọi là Mộc ký sinh.","Loài phân bố ở Ấn Độ, Mianma, Nam Trung Quốc, các nước Ðông Nam á tới úc châu nhiệt đới. Thường gặp mọc ký sinh trên các cây gỗ trong rừng, trên cây có quả, sồi dé, từ Lào Cai, Bắc Thái, Vĩnh Phú, Ninh Bình qua Quảng Nam - Ðà Nẵng, Lâm Ðồng, Ninh Thuận, Bình Thuận tới Ðồng Nai, Bà Rịa- Vũng Tàu và thành phố Hồ Chí Minh. Thu hái toàn cây vào mùa hè và mùa thu, thái lát, phơi khô.","","Vị hơi đắng, tính bình, có tác dụng khử phong trừ thấp, thư cận hoạt lạc, cầm máu.","Ở Campuchia, cây được dùng để trị viêm phế quản. Người ta nấu cây lên và lấy nước uống ngày 2 lần sáng và chiều. Ở Trung Quốc, cây được dùng làm thuốc trị: 1. Thấp khớp, đau lưng, mỏi bắp, chân tay tê bại; 2. Chảy máu tử cung, chảy máu cam; 3. Bạch đới, bệnh đường tiết niệu; 4. Lỵ trực khuẩn. Không dùng cho phụ nữ có mang. Dùng ngoài giã thành bột và lẫn với lòng đỏ trứng làm thành thuốc đắp trị bệnh vẩy nến, hoặc nấu nước để rửa viêm mủ da. Ở Ấn Độ, cây được dùng làm một chế phẩm trị sốt kèm theo đau các chi.","Dùng 10-15g dạng thuốc sắc.",""
"Ghi lá xoan","","Viscum ovalifolium DC.","Ghi - Viscaceae","Bụi bán ký sinh, thòng, dài đến 1m; nhánh tròn, không lông, xanh, lóng 4-5cm, lưỡng phân hay tam phân. Lá xanh đậm, dày rất giòn, có 3-5 gân chính khó nhận; cuống dẹp 4-5 mm. Chùm hoa ở nách; hoa đơn tính; hoa cái có mẫu 4. Quả mang đài tồn tại và lúc non có mụt nhỏ, khi chín màu vàng nhạt, tròn, to 4mm, có 7-8 sọc dọc. Hoa tháng 3.","Toàn cây - Herba Visci.","Loài phân bố ở Ấn Độ, Mianma, Nam Trung Quốc, Malaixia, Inđônêxia, Philippin và Việt Nam. Cây mọc ở rừng khắp nước ta, từ Quảng Ninh, Hà Tây qua Nghệ An, Quảng Trị, Thừa Thiên-Huế, Quảng Nam-Ðà Nẵng, Khánh Hoà, Ninh Thuận, Gia Lai, Lâm Ðồng, tới Sông bé, thành phố Hồ Chí Minh, Bà Rịa-Vũng Tàu.","","","Dân gian dùng cây này nấu nước tắm cho trẻ em 2-3 tuổi bị sốt.","",""
"Ghi trắng","","Viscum album L.","Ghi - Viscaceae","Cây bụi ký sinh, có gốc dày, với nhánh dài 10-60cm, phân nhánh lưỡng phân, có đốt, màu lục, hình trụ, rễ đôi. Lá mọc đối, thuôn, tù và có rãnh ở gốc, dai, màu lục. Hoa nhỏ màu vàng, thành ngù rẽ đôi ở ngọn. Quả mọng trăng trắng, hình cầu to 7x8mm, đầu có bao hoa tồn tại thành bốn sẹo. Hạt dẹp thẳng.","Toàn cây - Heba Visci.","Loài phân bố ở Âu châu và Á châu ôn đới, bắc Phi châu. Ở nước ta, chỉ mới biết có một thứ (var. meridianum Dans.) ở núi cao Sapa, tỉnh Lào Cai. Thu hái cành lá quanh năm nhưng tốt nhất vào mùa đông, thường dùng tươi hay sấy khô ở nhiệt độ dưới 45 độ.","Lá chứa 8-10% nước, 8-10% chất khoáng. Còn có nhiều hoạt chất. Cây chứa arsen; acetyl choline, propionyl- choline, choline acid oleanolic và 1 rượu nhựa. Còn có histamin, các dẫn xuất triterpen; viscol a và b một saponosid bởi sự thuỷ phân của acid oleanolic. Viscotoxin được tìm ra năm 1948 là một chất độc peptid có tới 11 aminoacid khác nhau, còn có toxomalin và macromalin. Quả chứa chất nhầy, sáp, gôm, chlorophylle, các muối K, Ca, Mg và oxyt sắt.","Ghi khi tươi không có mùi, nhưng khi khô có mùi khó chịu, vị chát và đắng. Quả có tác dụng nhuận tràng bổ, kích dục, lợi tiểu, trợ tim. Histamin tham gia vào việc làm giảm huyết áp, gây cảm giác dễ chịu cho người bệnh. Có thể làm hạn chế sự phát triển của một số u bướu nhưng phải đặt trực tiếp lên trên hoặc trong u. Cây cũng có tác dụng điều hoà và bổ trong các bệnh về tim. Nước chiết cây làm tê liệt các thần kinh cảm giác và vận động.","Cây thường được dùng trị sưng lá lách và dùng điều trị vết thương, u bướu, đau tai. Ở Châu Âu, dùng trị huyết áp cao, dùng cây tươi tốt hơn. Cũng dùng chữa u bướu nhưng phải theo dõi thường xuyên. Người ta thường dùng dưới dạng bột (1-2g) hay chiết xuất lỏng (0,05-0,2g) khi nghiền trong rượu trắng. Nếu dùng với liều cao, sẽ có độc đối với tim và có thể gây ngưng tâm thu.","",""
"Giá","","Excoecaria agallocha L.","Thầu dầu - Euphorbiaceae","Cây nhỡ hay cây bụi có nhựa mủ trắng. Lá mọc so le, xoan, bầu dục, tù ở gốc, có mũi lồi ngắn, hơi lệch và tù, nguyên, dai, dài 5-8cm, rộng 2,5-4,5cm, bóng loáng ở mặt trên, mốc mốc ở mặt dưới, với hai tuyến ở gốc; cuống mảnh, dài 2cm. Hoa khác gốc, thành bông ở nách lá; các bông đực nhiều hoa, dài 2-8mm; các bông cái thưa, dài 10-15mm, có khi có hoa đực ở ngọn. Quả nang có cuống ngắn 2-3mm, hình cầu, có 3 cạnh; đường kính 1cm; hạt 3, hình cầu, 4mm, màu xám nhạt. Hoa tháng 6-12.","Toàn cây - Herba Excoecariae Agallochae.","Loài của Á châu nhiệt đới, thường hay gặp ở các rừng ven biển, ven sông nước lợ, khắp nước ta.","Các bộ phận của cây đều chứa nhựa độc. Vỏ chứa tanin, từ 10-15% tuỳ nơi. Hạt chứa dầu.","Nhựa mủ rất độc, gây xổ, sẩy thai, có thể làm mù mắt. Vỏ gây nôn, xổ. Lá cũng có độc.","Người ta thường dùng nhựa mủ làm thuốc duốc cá, có khi cũng dùng lá làm thành bột thả xuống nước. Mủ có thể dùng chữa loét mạn tính. Có nơi dùng với nhựa Sui để tẩm tên độc. Lá cây có thể sắc uống chữa động kinh; giã tươi đắp trị các vết loét. Dịch lá nấu với dầu dùng xoa đắp trị thấp khớp, phong cùi và liệt. Rễ cây ít độc hơn các phần của cây trên mặt đất. Giã ra lẫn với Gừng, dùng làm thuốc chườm trị sưng chân tay. Hạt phơi nắng có thể chế dầu dùng trị ghẻ. Nói chung, chỉ nên sử dụng để trị bệnh ngoài da. Còn gỗ trắng, có quầng rõ, khi già đốt có mùi thơm trầm. Khói gỗ có thể dùng để trị bệnh phong cùi; nhưng cần lưu ý hơi đốt này rất nguy hiểm nếu ta đốt gỗ trong phòng ở.","",""
"Giác đế","Thăng ma núi","Goniothalamus gabricianus (Baill.) Ast","Na- Annonaceae","Cây bụi có rễ đen đen nhánh có lông lúc non. Lá không lông. Hoa đơn độc, không có cuống; các cánh hoa trong dính nhau, có lông ở mặt ngoài, nhị có ngăn ngang ở buồng phấn; nhiều lá noãn chứa mỗi cái 1 noãn. Quả hình trái xoan dài 11mm.","Rễ - Radix Goniothalami.","Loài của Việt Nam, Campuchia, Lào. Ở nước ta, cây mọc hoang ở rừng từ Quảng Trị, Quảng Nam Ðà Nẵng qua Khánh Hoà, Ninh Thuận, Kontum, Ðắc Lắc, Tây Ninh, Ðồng Nai tới An Giang. Có thể thu hái rễ cây quanh năm, dùng tươi hay phơi khô dùng dần.","","","Rễ có màu đen, thịt màu vàng, nhưng khi ra ngoài không khí lại có màu đen. Dân gian dùng nó làm thuốc giải độc trừ ban trái, đậu sởi. Có người dùng phối hợp với Keo ta, Rau dừa nước, Củ cỏ ống, Vác tía, Dền gai, Sài hồ, liều lượng bằng nhau đều 10g, sắc uống.","",""
"Gia đỏ trong","Giả đỗ trọng","Cleghornia dongnaiensis Pierre (Giadotrum dongnaiense (Pierre) Pichon)","Trúc đào - Apocynaceae","Dây leo có vỏ nâu, dễ tách ra thành mảng rộng. Lá thuôn, có đuôi và tù ở đầu, nhọn ngắn ở gốc, dạng màng, dài 8-11cm, rộng 2,5-3,5cm. Hoa xếp 3-5 cái thành xim ở ngọn và nách lá, dài 3-8cm.","Vỏ - Cortex Cleghorniae Dongnaiensis.","Loài đặc hữu ở miền Nam Việt Nam, gặp ở rừng Bảo chánh thuộc tỉnh Ðồng Nai và một số nơi khác thuộc các tỉnh Kontum, Gia Lai và Ðắc Lắc.","","","Vỏ dùng làm thuốc trị lỵ.","",""
"Giam","","Mitragyna speciosa (Korth.) Havil. (M. parvifolia (Roxb.) Korth.)","Cà phê - Rubiaceae","Cây có kích thước trung bình. Lá thuôn hay bầu dục, tròn hay tù ở chóp và ở gốc, dài 4-10cm, rộng 1,5-7cm, màu nâu sẫm và bóng ở mặt trên, sáng hơn và mờ ở mặt dưới, nhẵn, dai. Hoa thành đầu, xếp 3 cái một ở ngọn, đường kính 1,5-2cm, ở gốc có 2 lá hình dải thuôn, dài 3-4cm. Quả nang dạng gốc, dài 5mm, rộng 3mm ở đỉnh. Hạt dẹp, có cánh ở hai đầu. Cây ra hoa tháng 4.","Lá, vỏ và rễ - Folium, Cortex et Radix Mitragynae.","Cây của Ðông Dương, Ấn Độ và Xri Lanka, phổ biến ở miền Nam nước ta.","","","Lá non rất đắng; nếu phơi khô, nghiền bột và nấu chín có thể dùng làm thức ăn, gây kích thích sự ăn ngon miệng. Ở Ấn Độ vỏ và rễ được dùng trị sốt và cơn đau bụng.","",""
