"chuong_so","tieu_de_chuong","ten_bai_thuoc","chua_tri","lieu_luong_cach_dung","cong_hieu","chu_y","ghi_chu","doi_tuong_phu_hop","luu_y","cong_dung_khac"
34,"CHỮA CẢM MẠO, CẢM CÚM","HOẮC HƯƠNG, GẠO TẺ","Cảm mạo (bệnh trạng như trên).","Lá hoắc hương tươi 20gr, sắc kỹ, cho vào 1 ít đường trắng. Mỗi ngày uống 3 - 4 lần. Hoặc dùng 100gr gạo tẻ, nấu thành cháo, cho nước hoắc hương vào. Ăn nóng.","Thanh nhiệt, giảm đau, ra mồ hôi. Bài thuốc này chữa các chứng sốt rét, cảm mạo, nhức đầu, tiêu hóa khó khăn, buồn nôn. Mùa hè nóng bức, có thể ăn cháo hoắc hương thường xuyên để bồi dưỡng cơ thể, giữ gìn sức khỏe.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","RAU CẢI, ĐẬU PHỤ, GỪNG TƯƠI","Cảm, ngạt mũi, nhức đầu, sợ lạnh, không ra mồ hôi, đắng miệng, miệng khô, không muốn ăn.","Rau cải 500gr, đậu phụ 3 miếng (3 bìa đậu) trám muối 4 quả, gừng tươi 15gr. Cho vào 4 bát nước, sắc lấy khoảng 1 bát. Uống nóng, uống xong đắp chăn kín toàn thân cho ra mồ hôi.","Thanh nhiệt, giải cảm, giảm đau.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","HÀNH, TỎI NẤU CHÁO","Cảm, nhức đầu","Lấy 10 củ hành, 3 củ tỏi. Nấu 2 bát cháo bột gạo. Khi cháo chín cho hành tỏi vào đun sôi kỹ. Ăn nóng. Ăn xong đắp chăn kín toàn thân để ra mồ hôi.","Trừ phong, cắt cơn đau.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","CÁ TRẮM CỎ, GỪNG TƯƠI, RƯỢU","Cảm, ngạt mũi, sợ lạnh, nhức đầu.","Thịt cá trắm cỏ 150gr, gừng tươi thái lát 25gr, rượu 100ml. Lấy 1/2 bát nước đun sôi, cho 3 vị trên và 1 ít muối vào. Ăn nóng để ra mồ hôi.","Trừ phong, giải cảm, cắt cơn đau.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","QUẢ ĐÀO, HÀNH, GỪNG TƯƠI","Cảm lạnh, không ra mồ hôi, nhức đầu phát sốt.","Quả đào 25gr, hành 25gr, gừng tươi 25 gr, lá chè 15gr. Cho vào 1 bát nước, sắc kỹ, bỏ bã, uống nước","Giải cảm, ra mồ hôi, giảm đau, giải nhiệt.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","GỪNG TƯƠI, HÀNH CỦ, CỦ CẢI","Cảm, ho ra đờm nhiều, trong đờm có bọt.","Gừng tươi 15gr, hành 6 củ, củ cải 1 củ. Dùng 3 bát nước, lần lượt cho củ cải, gừng và hành vào, sắc kỹ, lấy 1 bát nước, bỏ bã, uống nước.","Thanh nhiệt, tiêu đờm, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","CÂY MÙI, ĐƯỜNG MẠCH NHA","Cảm gió, ho, đờm ra nhiều.","Cây mùi 25gr, đường mạch nha 25gr, 3 thìa nước cơm. Đun nhỏ lửa, khi đường hòa tan hết là được. Ăn hết trong 1 lần.","thanh nhiệt, tiêu đờm, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","Ô MAI, ĐƯỜNG ĐỎ","Cảm phong, cảm mạo, phát sốt.","Ô mai 4 quả, đường đỏ 100 gr. Sắc lấy 1 bát nước, chia làm 2 lần uống hết.","Trừ phong, thanh nhiệt.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","LÁ CHÈ, TÍA TÔ","Cảm mạo dẫn đến khản tiếng.","Lá chè 5gr đem sao, tía tô 5gr, muối rang 10gr. Dùng 1 bát nước, cho chè, tía tô vào sắc kỹ, hòa tan muối, bỏ bã, uống dần dần.","Thanh nhiệt, khỏi khản tiếng.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","PHƯƠNG THUỐC KỲ DIỆU CHỮA CẢM CÚM","Cảm cúm","Đài sen 15gr, ngân hoa 10gr, rễ cây lau 15gr, hương nhu 10gr, bèo tấm 10gr, sắn dây 15gr, phòng phong 10gr, đại thanh diệp 15gr, cam thảo 10gr. Cho vào 3 bát nước, sắc lấy 1 bát. Để nguội uống hết trong 1 lần. Mỗi ngày dùng 1 thang. Điều trị liên tục 2 - 3 thang. Nếu bệnh nhân sốt cao thì cho thêm vào 30gr thạch cao. Bệnh nhân nhức đầu, đau mình mẩy thì thêm 10gr cành dâu, 15gr bạch thược. Bệnh nhân ho đau họng thì thêm rễ cây lan 15gr, huyền sâm 15gr. Bệnh nhân nôn mửa, ăn ít thì thêm hoắc hương 10gr. Nếu người sốt cao không giảm, bệnh tình trầm trọng thì có thể uống mỗi ngày 2 thang. Trẻ em, người già cơ thể yếu thì uống 1/2 thang.","Thanh nhiệt, giải cảm, cắt cơn ho, giảm đau.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","MẬT ONG, HOA KIM NGÂN","Cúm.","lấy 30gr hoa kim ngân, cho vào 2 bát nước, sắc lấy 1 bát, gạn lấy nước thuốc, hòa vào 20gr mật ong, uống 2 lần, vào 2 buổi sáng, chiều.","Thanh nhiệt, tiêu đờm, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","QUẢ TRÁM, CỦ CẢI","Cúm, cảm thông thường.","Mỗi lần dùng 250gr quả trám, 500 - 1000 gr củ cải. Sắc kỹ, lấy nước uống thay nước chè. Uống nhiều lần.","Thanh nhiệt, giải độc, tiêu đờm, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","TIM LỢN MUỐI","Phong hàn cảm mạo, ho và viêm phế quản.","Lấy 1 quả tim lợn, rửa sạch, để ráo nước. Cho quả tim vào nồi, rắc lên trên quả tim một ít muối, một ít nước. Đun nhỏ lửa trong 1 tiếng, sau đó bỏ muối đi, ăn tim lợn (ăn hết trong 1 lần). Điều trị 2 - 3 lần sẽ có kết quả. Đây là bài thuốc dân gian để chữa phong hàn, cảo mạo.","","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","CỎ HÔI, ĐẬU XANH","Cảm sốt.","Mỗi lần dùng 30gr cỏ hôi tươi, 30 - 50 gr đậu xanh, cho vào 5 bát nước, sắc lấy 2 bát, cho vào thuốc một ít đường đỏ đun sôi trong ít phút. Bỏ bã, uống nước.","Thanh nhiệt, giải độc, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","HÀNH, NẤM HƯƠNG, SỮA NGƯỜI","Trẻ sơ sinh do phong hàn cảm mạo, sinh ra ngạt mũi, khò khè, chảy nước mắt.","Mỗi lần dùng 1 củ hành, 1 cây nấm hương, 30 - 50 ml sữa người. Cho vào chén sứ, hấp cách thủy, vắt lấy nước, bỏ bã, cho nước thuốc vào vú cao su cho trẻ bú. Bú mỗi ngày 1 lần, điều trị liên tục 2-3 ngày.","Thanh nhiệt, giải độc, tiêu đờm, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","QUẢ TRÁM, RỄ LAU","","Mỗi lần dùng 30 gr rễ lau, 4 quả trám muối. Tất cả cho vào 2 bát nước, sắc lấy 1 bát, bỏ bã, uống nước.","Thanh nhiệt, ra mồ hôi, giải độc, dễ thở, cắt cơn ho, tiêu đờm.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","CÚC VẠN THỌ, NƯỚC ĐƯỜNG","Cảm, ho.","Mỗi lần dùng 15 gr cúc vạn thọ. Cho vào 2 bát nước, sắc lấy 1 bát, bỏ bã, uống nước, cho vào 1 ít đường, uống nóng.","Thanh nhiệt, tiêu đờm, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","RỄ CÂY ĐA, ĐƯỜNG PHÈN","Cảm mạo, phát sốt, ho.","Mỗi lần dùng 30 gr rễ nhỏ của cây đa, một ít đường phèn. Cho vào 2 bát nước, sắc lấy nước uống.","Thanh nhiệt, giải độc, tiêu đờm, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","NẤU CHÁO GẠO TẺ VỚI GỪNG TƯƠI","Ngoại cảm, phong hàn, ngạt mũi, chảy nước mũi, mắt, ho có đờm.","Mỗi lần dùng 30 - 50 gr gừng tươi, thái nhỏ, gạo rang khoảng 50gr. Tất cả nấu thành cháo, cho vào cháo 1 ít muối, dầu lạc. Ăn nóng (có thể ăn gừng hoặc không).","Ấm trong, trừ lạnh, tiêu đờm, cắt cơn ho.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","CÂY MÙI, ĐẬU VÀNG","Cảm mạo phong hàn, cúm, phát sốt, nhức đầu.","Mỗi lần dùng 30 gr rau mùi tươi, 50gr đậu vàng. Cho vào 2 bát nước, sắc lấy 1 bát nước, cho vào 1 ít muối. Uống nóng.","Trừ phong, giải độc, tiêu nóng, cắt cơn đau.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","GỪNG TƯƠI, RAU CẢI","Cảm lạnh, nhức đầu, ho, đờm trắng, tắc đờm.","Mỗi lần dùng 500 gr rau cải tươi, rửa sạch, cắt khúc, gừng tươi 10 gr, cắt lát. Cho vào 4 bát nước, sắc lấy 2 bát. Cho vào 1 ít muối, uống nóng. Mỗi ngày uống 2 lần (rau cải có thể ăn hoặc không).","Thông đờm, bổ phổi.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","GỪNG, HÀNH, TÍA TÔ, QUẢ TRÁM, HÀNH CỦ","Phong hàn, cảm mạo, phát sốt, nhức đầu, chảy nước mũi, ngứa cổ họng, hắt hơi liên tục.","Mỗi lần dùng 60gr quả trám tươi còn hạt, 15gr củ hành, 10 gr gừng tươi, 10gr tía tô. Cho vào 2 bát nước, sắc lấy 1 bát, cho vào 1 ít muối. Bỏ bã, uống nước.","Giải cảm, tán nhiệt, tiêu đờm, ngừng chảy nước mũi.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","BẠC HÀ, ĐƯỜNG","Phong nhiệt, cảm mạo (sốt cao, rét nhẹ, nhức đầu, ho, họng đau, mắt đỏ, miệng khô, khát nước, lưỡi đỏ, bựa lưỡi vàng, mạch phù).","Đường trắng 500gr, cho vào nồi nhôm, một ít nước, đem đun nhỏ lửa cho đến khi đặc khô, cho vào 30 gr bột bạc hà hoặc thay bằng 5 ml dầu bạc hà, quấy đều, để nguội.","Thanh nhiệt, trừ phong.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","NƯỚC DƯA HẤU, CÀ CHUA","Cảm mạo (thường thấy nôn mửa, đi ỉa, ra nhiều mồ hôi, khát nước, mệt mỏi, lưỡi viêm đỏ, bựa lưỡi trắng, biếng ăn, mạch hoạt...).","Dưa hấu bỏ hột, dùng vải sạch gói ép lấy nước, cà chua luộc chín, bỏ hột, vỏ, ép lấy nước. Hòa 2 loại nước lại với nhau uống.","Trừ phong, thanh nhiệt, tiêu thấp.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","GỪNG NẤU VỚI CÁ TRẮM ĐEN","Thuốc phòng dịch cảm.","Dùng 1 con cá trắm đen khoảng 1000gr, bỏ vây, mang, ruột. Bổ thân cá, cắt lát xếp lên đĩa. Đặt trên vỉ hấp chín. Cho 1 ít rượu, muối, gia vị, hấp tiếp ít phút. Trước khi ăn, băm nhỏ gừng, hành tỏi rắc lên trên cá, tưới dầu ăn lên cá và đun sôi bốc mùi thơm là được. Ăn vào 2 bữa cơm.","Tăng cường khí huyết, bổ thận, giải cảm, giải độc; trong khi có dịch cúm, ăn món này thường xuyên có tác dụng phòng bệnh cúm.","","","","",""
34,"CHỮA CẢM MẠO, CẢM CÚM","HOÀNG KỲ, THỊT NẠC","Thuốc phòng dị ứng cúm.","Thường dùng 50 gr hoàng kỳ sắc lấy nước uống. Hoặc hoàng kỳ hầm với thịt lợn nạc ăn.","Tăng cường sức đề kháng cho cơ thể. Những người cơ thể ốm yếu, dùng bài thuốc này để phòng bệnh cúm rất tốt.","","","","",""
35,"CHỮA CẢM NẮNG","CHÈ ĐẬU XANH, ĐẬU ĐỎ","Phòng cảm nắng","Đậu xanh, đậu đỏ (mỗi loại 1 phần) rửa sạch, cho nước vừa đủ, ninh nhừ, cho đường, quấy đều, ăn.","Thanh nhiệt, giải độc, lợi tiểu. Trong mùa oi nhiệt, thường xuyên ăn chè đậu có tác dụng phòng bệnh cảm nắng, kiết lỵ.","","","","",""
35,"CHỮA CẢM NẮNG","CUỐNG LÁ SEN, LÁ LIỄU NẤU VỚI ĐẬU BIỂN, Ý DĨ","Cảm nắng, toát mồ hôi, nhức đầu, phát sốt, khát nước, có khi sợ lạnh.","Dùng 50 gr cuống lá sen, 5 gr lá liễu, 15 gr hạt ý dĩ, 15 gr biển đậu. Cho vào 3 bát nước, sắc lấy 1 bát nước.","Chống nóng, giảm đau.","","","","",""
35,"CHỮA CẢM NẮNG","NƯỚC QUẢ DƯA HẤU","Cảm nắng, ra mồ hôi nhiều, khát nước.","Dưa hấu ép lấy nước uống. Uống 1 bát nước dưa hấu, có tác dụng bớt ra mồ hôi nhiều, giải nhiệt, khỏi khát nước.","","","","","",""
35,"CHỮA CẢM NẮNG","CỦ CÀ RỐT, CỦ MÃ THẦY","Cảm nắng.","Mỗi lần dùng 150 - 250 gr củ cà rốt, 150- 250 củ mã thầy. Sắc lấy nước uống thay nước chè.","thanh nhiệt, giải độc.","","","","",""
35,"CHỮA CẢM NẮNG","HOA BẤC ĐÈN (CÂY CỎ BẤC), MƯỚP ĐẮNG","Cảm nắng, người nóng, khát nước, nước đái vàng, phong nhiệt, mắt đỏ.","Mỗi lần dùng 4 - 6 cây bấc đèn, 150 - 250 gr mướp đắng (cắt khúc, bỏ vỏ, hạt). Sắc lấy nước uống.","Thanh nhiệt, giải cảm, khỏi khát.","","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","CHÁO HÀNH GẠO NẾP","Viêm phế quản cấp tính do cảm lạnh (bắt đầu ho có đờm, nhức đầu, ngạt mũi, lên cơn sốt rét, bựa lưỡi trắng, mạch phù gấp).","5 củ hành to (có đoạn cây hành vào khoảng 3cm), 60gr gạo nếp, 5 lát gừng tươi cho nước vừa đủ, nấu thành cháo. Cho vào cháo 5ml giấm, ăn nóng. Ăn xong đắp kín chăn để ra mồ hôi.","Tán hàn, ấm trong, giảm ho, thông kinh lạc, sinh máu, giảm đau.","những người ho, nóng, ra nhiều mồ hôi, không dùng bài thuốc này.","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","CHÁO GẠO TẺ, HẠNH NHÂN","Viêm phế quản cấp tính do cảm lạnh (bệnh trạng như trên).","Hạnh nhân 15gr, bỏ vỏ, giã nát lọc lấy nước cho vào 50gr gạo nấu cháo, ăn nóng.","Tán hàn, khỏi ho. Những người hàn cảm mạo, thở hổn hển, trong người bồn chồn, táo bón dùng bài thuốc này rất hiệu nghiệm. Những người âm hư, ho, ỉa lỏng không dùng bài thuốc này.","","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","MẬT ONG, KIM NGÂN HOA","Viêm khí quản cấp tính do phong nhiệt (ho ra nhiều đờm, đau họng, người nóng, miệng khát nước, nhức đầu, sợ gió, bựa lưỡi vàng, mạch phù).","Kim ngân hoa 30gr, nước 500ml, sắc lấy nước, bỏ bã, cho mật ong vào quấy đều. Chia làm 3 - 4 lần, uống hết trong ngày.","Mát phổi, cắt cơn ho. Phòng cúm, chữa ho khan, mát phổi rất công hiệu.","","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","LÁ DÂU, HẠNH NHÂN","Viêm phế quản cấp tính do phong nhiệt (bệnh trạng như trên).","Lá dâu 10 gr, hạnh nhân, bối mẫu, vỏ quả lê mỗi thứ 15 gr, đường phèn 10 gr. Sắc lấy nước uống, uống thay nước chè.","trừ phong nhiệt, tiêu đờm, cắt cơn ho. Sau khi khỏi viêm khí quản cấp tính vẫn còn sốt nhẹ, ho khan, không có đờm vẫn tiếp tục uống bài thuốc này.","","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","CHÁO GẠO TẺ VỚI CÂY HUỆ, HẠNH NHÂN","Viêm khí quản cấp tính do cảm nóng (nóng nực ra mồ hôi, ho không có đờm hoặc đờm ít không thông đờm, họng đau, miệng khô, khát, sốt cao, nôn nao, lưỡi đỏ, bựa lưỡi trắng, khô, đi ỉa táo bón, nước đái vàng).","Cây hoa huệ tươi 50gr, hạnh nhân 10 gr (bỏ vỏ, giã nát), gạo tẻ 50 gr. Cho nước vừa đủ, nấu cháo. Cháo chín cho vào một ít đường trắng. Ăn nóng.","Mát phổi, khỏi ho, tĩnh tâm, an thần.","Những người ho do cảm lạnh, tỳ vị hư không được dùng bài thuốc này.","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","NƯỚC HẠNH LÊ","Viêm khí quản cấp tính do cảm nóng (bệnh trạng như trên).","Hạnh nhân 10gr (cắt bỏ vỏ đầu nhọn), 1 quả lê, bỏ hột, thái miếng, cho nước vừa đủ, ninh nhừ. Quấy vào 1 ít đường trắng. Uống cả ngày.","Mát phổi, tiêu đờm, cắt cơn ho.","","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","LÁ DÂU, SA SÂM, MẠCH MÔN...","Viêm khí quản cấp tính do cảm nóng (bệnh trạng như trên).","Lá dâu, thạch cao sống mỗi thứ 30gr, cam thảo 10gr. Thạch cao sống cho vào 500ml nước sắc trong 30 phút, sau đó cho các vị thuốc khác vào, tiếp tục sắc kỹ, lọc bỏ bã, lấy nước. Cho đường hoặc nước quả lê vào thuốc, quấy đều, uống cả ngày, uống thay nước chè.","Mát phổi, khỏi ho.","Những người hư hàn, ôn thịnh không được dùng.","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","CHÁO GẠO NẾP VỚI CÁ CHÉP","Viêm khí quản cấp tính.","Lấy 1 con cá chép, đánh sạch vẩy, dùng đất dẻo bọc kín, nướng trên bếp than. Khi cá chín, bóc bỏ lớp đất, lấy cá cho vào nồi cháo gạo nếp. Ăn lúc đói. Mỗi ngày ăn 1 lần.","","","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","NUỐT MẬT NGỖNG","Viêm khí quản cấp tính.","Mỗi lần dùng 1 chiếc mật ngỗng. Mỗi ngày 1 - 2 lần.","","","","","",""
36,"CHỮA VIÊM KHÍ QUẢN CẤP TÍNH","GÀ GÔ, SA SÂM, NGỌC TRÚC","Viêm khí quản cấp tính.","Gà gô 1 con, bỏ lông, ruột, rửa sạch. Ninh nhừ ăn, hoặc cho sa sâm, ngọc trúc vào bụng gà, ninh nhừ ăn. Chim cút cũng có tác dụng như gà gô.","","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","CHÁO PHỤC LINH, Ý DĨ","Viêm khí quản mạn tính. (Ho ra nhiều đờm, đờm trắng lỏng hoặc có nhiều bọt, ngực đau tức, bựa trắng, nhầy, mạch nhu, hoạt).","Hạt ý dĩ 60 gr, bột phục linh 15 gr, cho nước vừa đủ, nấu thành cháo. Bài thuốc này dùng chữa chứng tỳ hư, thấp thịnh sinh đờm đặc rất công hiệu. Người cao tuổi tỳ hư thấp thịnh dùng lâu dài sẽ có hiệu quả.","","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","CHÁO TÍA TÔ, GẠO TẺ","Viêm khí quản mạn tính (bệnh trạng như trên).","Tử tô 15 gr, giã nát, cho vào 100 gr gạo tẻ, nước vừa đủ, nấu thành cháo. Cháo chín cho vào ít đường. Mỗi ngày ăn 2 lần.","- Hạ khí, tiêu đờm, giảm ho, nhuận phổi. Chữa tức ngực, thở dốc cũng có hiệu quả (nhưng phải điều trị lâu).","- Người cao tuổi, mắc chứng đi ỉa lỏng không dùng bài thuốc này.","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","CHÁO HOÀNG KỲ GẠO TẺ","Viêm khí quản, mạn tính do phù, thận, khí hư. (khi ho mặt tái, tiếng nhỏ hơi ngắn, bựa lưỡi mỏng, nhạt miệng, mạch vi nhược).","Hoàng kỳ 20 gr, gạo tẻ 60 gr, nấu thành cháo, cho vào cháo 1 ít đường trắng. Ăn nóng.","Bổ dưỡng ngũ tạng, thanh hư, bổ phổi, thận, tim.","Người bị cảm sốt không được dùng bài thuốc này.","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","HẠNH NHÂN, HỒ ĐÀO...","Viêm khí quản mạn tính do phế, thận, khí hư (bệnh trạng như trên).","Quả ngân hạnh và điểm hạnh nhân mỗi thứ 100 gr, hồ đào và lạc nhân mỗi thứ 20 gr, giã nhỏ, trộn đều. Hàng ngày, mỗi bữa sáng, chiều lấy 20 gr cho vào 1 bát nước. Đun sôi, lấy 1 quả trứng gà, một ít đường phèn cho vào thuốc, quấy đều, đun tiếp, trứng chín là ăn được. Điều trị nửa năm liên tục có thể chữa khỏi.","Bổ thận, nhuận phổi, khí hư bình ổn, người cao tuổi viêm khí quản mạn tính, sưng phổi dùng bài thuốc này rất hiệu nghiệm.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","NGŨ VỊ TỬ NGÂM TRỨNG GÀ","Viêm khí quản mạn tính do phế, thận, khí hư (bệnh trạng như trên).","Dùng 250 gr ngũ vị tử Bắc, 10 quả trứng gà vỏ màu hồng. Trước hết đem ngũ vị tử sắc lấy nước, để nguội, sau đó đập 10 quả trứng gà vào ngâm 6 - 7 ngày. Hàng ngày, mỗi buổi sớm chiều uống với nước sôi hoặc rượu nóng. Khi uống cho vào một ít đường.","Bổ phổi, thận, giảm ho. Chữa khí nóng, phòng tái phát rất tốt.","Những người có đờm vàng nóng không được dùng bài thuốc này.","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","NGỌC TRÚC, SA SÂM HẦM VỊT","Viêm khí quản mạn tính, nóng phổi, ho khan.","Mỗi lần dùng 30 - 50 gr ngọc trúc, 30 - 50 gr sa sâm, một nửa hoặc cả con vịt. Vịt làm sạch lông, bỏ ruột. Cho vịt, thuốc, nước vừa đủ ninh nhừ (đun nhỏ lửa trong 1 tiếng), cho thêm gia vị. Ăn thịt, uống nước.","Mát phổi, tiêu viêm, khỏi ho.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","HẠT SEN, BÁCH HỢP HẦM THỊT NẠC","Viêm khí quản mạn tính.","Hạt sen và bách hợp mỗi thứ 30 gr, thịt lợn nạc 200 - 250 gr. Cho vào nước, ninh nhừ. Ăn nóng.","Mát phổi, giảm ho, tiêu viêm.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","ĐƯỜNG TRẮNG HẤP VỚI CON DƠI","Viêm khí quản mạn tính.","Mỗi lần lấy 1 con dơi tương đối to, bỏ lông, móng, ruột gan, trộn vào 1 ít nước, 1 ít đường trắng. Hấp cách thủy. Uống nước (thịt dơi có thể ăn, có thể không ăn).","Mát phổi, giải độc.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","QUẢ BƯỞI HẤP VỚI THỊT GÀ TRỐNG","Viêm khí quản mạn tính.","Mỗi lần dùng 1 quả bưởi (loại bưởi để cách năm qua mùa đông là tốt nhất), bỏ vỏ. Gà trống 1 con khoảng 500 gr. Trước hết làm gà sạch lông, bỏ ruột, rửa sạch, sau đó cho bưởi vào trong bụng gà. Hấp cách thủy, uống nước, ăn thịt gà. Hai tuần ăn 1 lần, điều trị liên tục 3 lần.","Bổ phổi, tăng cường khí huyết, tiêu viêm, khỏi ho.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","CƠM NẾP NƯỚC GỪNG PHỔI BÒ","Viêm khí quản mạn tính.","Mỗi lần dùng 150 - 200 gr phổi bò và một ít gạo nếp (tùy nhu cầu). Đun nhỏ lửa, thổi chín cơm gạo nếp, cho vào 10 - 15 ml nước gừng quấy đều.","Nhuận phổi, tiêu đờm, khỏi ho.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","TÁO TÀU, ĐƯỜNG ĐỎ NẤU VỚI BÍ NGÔ","Bệnh viêm khí quản ở người cao tuổi.","Mỗi lần dùng 500 gr bí ngô (bỏ vỏ) 15 - 20 quả táo (bỏ hạt), một ít đường đỏ. Nấu nhừ thành cháo, ăn nóng.","Bổ phổi, tiêu đờm, khỏi ho.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","QUẢ TRÁM, CỦ CẢI","Viêm khí quản mạn tính.","Mỗi lần dùng 250 gr quả trám, 500 - 1000 gr củ cải. Sắc lấy nước uống, giải độc, tiêu viêm.","","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","QUẢ TIM LỢN NẤU VỚI MUỐI","Viêm khí quản mạn tính.","Dùng 1 quả tim lợn tươi, rửa sạch, để ráo nước, cho quả tim vào nồi, cho 1 ít nước, rắc muối lên trên. Đun nhỏ lửa trong 1 tiếng. Gạt bỏ muối đi, ăn quả tim lúc còn nóng. Điều trị một vài lần sẽ có kết quả.","","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","MẬT ONG HẤP CỦ CẢI","Viêm khí quản mạn tính, ho.","Mỗi lần dùng 300 gr, củ cải, 60 gr mật ong. Củ cải rửa sạch, gọt bỏ vỏ, khoét rỗng giữa, cho mật ong vào trong. Hấp cách thủy, ăn nóng.","Nhuận phổi, giảm ho, tiêu đờm.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","CÚC VẠN THỌ SẮC VỚI NƯỚC ĐƯỜNG","Viêm khí quản mạn tính.","Mỗi lần dùng 15 gr hoa cúc vạn thọ, cho vào 2 bát nước, sắc lấy 1 bát, bỏ bã, cho vào 1 ít đường đỏ, quấy đều, uống nóng.","Thanh nhiệt, tiêu đờm, khỏi ho.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","LÁ CHÈ NẤU VỚI TRỨNG GÀ","Viêm khí quản mạn tính.","Mỗi lần dùng 15 gr lá chè xanh, 2 quả trứng gà. Cho vào 1 bát nước, đun sôi. Trứng chín vớt ra bóc bỏ vỏ. Cho trứng vào nước chè tiếp tục đun cho đến khi cạn nước. Ăn trứng.","Thanh nhiệt, tiêu đờm, khỏi ho.","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","PHỔI LỢN, RAU DIẾP CÁ","Viêm khí quản mạn tính.","Mỗi lần dùng 60 gr rau diếp cá, 200 gr phổi lợn rửa sạch. Phổi lợn thái nhỏ, lấy tay bóp hết bọt nước. Cho nước vừa đủ, ninh nhừ cho thêm gia vị. Ăn cái, uống nước.","","","","","",""
37,"CHỮA VIÊM KHÍ QUẢN MẠN TÍNH","ĐÔNG TRÙNG HẠ THẢO HẤP VỚI CUỐNG NHAU THAI NHI","Viêm khí quản mạn tính ở người cao tuổi.","Mỗi lần dùng 10 - 15 gr đông trùng hạ thảo, 1 cuống nhau thai nhi tươi. Hấp cách thủy. Thường ăn một, hai lần sẽ có kết quả.","Bổ phổi, tiêu đờm, tiêu viêm. Bài thuốc này là món ăn tẩm bổ rất quý.","","","","",""
